,repositorio,linguagem
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,GCGC,Jupyter Notebook
36,homebrew-apple,Ruby
37,HomeKitADK,C
38,indexstore-db,C++
39,learning-compressible-subspaces,Python
40,learning-subspaces,Python
41,llvm-monorepo-root,
42,llvm-project,
43,llvm-project-v5,C++
44,llvm-project-v5-split,C++
45,MaterialX,
46,ml-afv,Python
47,ml-all-pairs,Python
48,ml-ane-transformers,Python
49,ml-aspanformer,Python
50,ml-autofocusformer,Python
51,ml-autofocusformer-segmentation,Python
52,ml-batchquant,Python
53,ml-calibration,Jupyter Notebook
54,ml-capsules-inverted-attention-routing,Python
55,ml-cifar-10-faster,Python
56,ml-code-switched-speech-translation,Python
57,ml-collegial-ensembles,Python
58,ml-core,Python
59,ml-covid-mobility,R
60,ml-cread,Python
61,ml-cvnets,Python
62,ml-cvpr2019-swd,Python
63,ml-dab,Python
64,ml-data-parameters,Python
65,ml-destseg,Python
66,ml-dms-dataset,Python
67,ml-dprecs,Jupyter Notebook
68,ml-dr,Python
69,ml-duet,Python
70,ml-entropy-reconstruction,Python
71,ml-envmapnet,Python
72,ml-equivariant-neural-rendering,Jupyter Notebook
73,ml-facelit,Python
74,ml-fastvit,Python
75,ml-fct,Python
76,ml-ferret,
77,ml-finerecon,Python
78,ml-flair,Jupyter Notebook
79,ml-gaudi,
80,ml-gmpi,Python
81,ml-gsn,Python
82,ml-heart-rate-models,Python
83,ml-hierarchical-confusion-matrix,TypeScript
84,ml-hypersim,Python
85,ml-interspeech2022-phi_rtn,
86,ml-knowledge-conflicts,Python
87,ml-live-pose,
88,ml-mkqa,Python
89,ml-mobileone,Swift
90,ml-multiple-futures-prediction,Python
91,ml-ncg,Python
92,ml-neilf,Python
93,ml-neilfpp,Python
94,ml-neuman,Python
95,ml-no-token-left-behind,Jupyter Notebook
96,ml-pointconvformer,Python
97,ml-pointersect,Python
98,ml-probabilistic-attention,Python
99,ml-projunit,Python
100,ml-qrecc,Python
101,ml-quant,Python
102,ml-robust-expert-augmentations,Python
103,ml-sad,Python
104,ml-selfcond,Python
105,ml-shuffling-amplification,Python
106,ml-spatial-librispeech,
107,ml-spin,Python
108,ml-stable-diffusion,Python
109,ml-stuttering-events-dataset,Python
110,ml-symphony,Svelte
111,ml-tract,Python
112,ml-transcript-translation-consistency-ratings,
113,ml-translate-vis,TypeScript
114,ml-tree-dst,Python
115,ml-tune-mode-convbn,Python
116,ml-upscale,Jupyter Notebook
117,ml-uwac,Python
118,ml-vfi-smiff,Python
119,openjdk,Java
120,password-manager-resources,JavaScript
121,sample-backyard-birds,Swift
122,sample-cloudkit-coredatasync,Swift
123,sample-cloudkit-encryption,Swift
124,sample-cloudkit-privatedb,Swift
125,sample-cloudkit-privatedb-sync,Swift
126,sample-cloudkit-queries,Swift
127,sample-cloudkit-sharing,Swift
128,sample-cloudkit-sync-engine,Swift
129,sample-cloudkit-tooling,JavaScript
130,sample-cloudkit-zonesharing,Swift
131,sample-food-truck,Swift
132,servicetalk,Java
133,sourcekit-lsp,Swift
134,swift,C++
135,swift-3-api-guidelines-review,Swift
136,swift-algorithms,Swift
137,swift-argument-parser,Swift
138,swift-asn1,Swift
139,swift-async-algorithms,Swift
140,swift-async-dns-resolver,Swift
141,swift-atomics,Swift
142,swift-book,Markdown
143,swift-cassandra-client,Swift
144,swift-certificates,Swift
145,swift-clang,C++
146,swift-clang-tools-extra,C++
147,swift-cluster-membership,Swift
148,swift-cmake-examples,CMake
149,swift-cmark,C
150,swift-collections,Swift
151,swift-collections-benchmark,Swift
152,swift-community-hosted-continuous-integration,
153,swift-compiler-rt,C
154,swift-corelibs-foundation,Swift
155,swift-corelibs-libdispatch,C
156,swift-corelibs-xctest,Swift
157,swift-crypto,C
158,swift-distributed-actors,Swift
159,swift-distributed-tracing,Swift
160,swift-distributed-tracing-baggage-core,Swift
161,swift-distributed-tracing-extras,Swift
162,swift-docc,Swift
163,swift-docc-plugin,Swift
164,swift-docc-render,JavaScript
165,swift-docc-render-artifact,
166,swift-docc-symbolkit,Swift
167,swift-docker,Dockerfile
168,swift-driver,Swift
169,swift-evolution,Markdown
170,swift-evolution-staging,Swift
171,swift-experimental-string-processing,Swift
172,swift-format,Swift
173,swift-foundation,Swift
174,swift-foundation-icu,C
175,swift-getting-started-cli,Swift
176,swift-getting-started-package-library,Swift
177,swift-http-structured-headers,Swift
178,swift-http-types,Swift
179,swift-installer-scripts,CMake
180,swift-integration-tests,Python
181,swift-internals,HTML
182,swift-issues,
183,swift-libcxx,C++
184,swift-llbuild,C++
185,swift-llbuild2,Swift
186,swift-lldb,C++
187,swift-llvm,LLVM
188,swift-llvm-bindings,Swift
189,swift-lmdb,C
190,swift-log,Swift
191,swift-markdown,Swift
192,swift-metrics,Swift
193,swift-metrics-extras,Swift
194,swift-nio,Swift
195,swift-nio-examples,Swift
196,swift-nio-extras,Swift
197,swift-nio-http2,Swift
198,swift-nio-imap,Swift
199,swift-nio-nghttp2-support,Swift
200,swift-nio-ssh,Swift
201,swift-nio-ssl,C
202,swift-nio-ssl-support,Swift
203,swift-nio-transport-services,Swift
204,swift-nio-zlib-support,Swift
205,swift-numerics,Swift
206,swift-openapi-generator,Swift
207,swift-openapi-runtime,Swift
208,swift-openapi-urlsession,Swift
209,swift-org-website,SCSS
